T,a,da/dT
657.0017333,0.40840177,0.006040682
664.2744667,0.472365525,0.008795009
665.7201333,0.482411213,0.006948827
667.1762,0.492693859,0.007061933
668.6421333,0.503284508,0.007224509
670.12128,0.514278253,0.007432491
671.6082667,0.525552238,0.007581766
673.06236,0.536803057,0.007737343
674.47874,0.548001766,0.007906571
675.8602133,0.559185433,0.008095464
677.21636,0.57027413,0.00817662
678.5474,0.581199366,0.008208045
679.8476733,0.592049345,0.008344383
681.09994,0.602698215,0.008503677
682.3107133,0.613137414,0.008621926
683.49486,0.62337908,0.008648984
684.65254,0.633469023,0.008715658
685.7810333,0.643355678,0.008760933
686.8931867,0.652947911,0.00862492
688.0037533,0.662348368,0.008464559
689.1059667,0.671652142,0.008440992
690.1984467,0.68074907,0.00832686
691.27684,0.689663818,0.008266693
692.3462933,0.698385404,0.008155182
693.3997133,0.706863582,0.008048242
694.44834,0.715133155,0.007886098
695.491,0.723210672,0.007747028
696.5375933,0.731094663,0.007533003
697.59532,0.738792101,0.007277342
698.6683933,0.746277302,0.006975479
699.75054,0.753628565,0.006793223
700.8447333,0.76087765,0.00662505
701.95536,0.768030567,0.006440433
703.0781133,0.775092997,0.006290277
704.2077933,0.782076696,0.006182016
705.3395667,0.788954707,0.006077199
706.4730067,0.795734472,0.005981582
707.6192,0.802437089,0.005847719
708.77272,0.809092978,0.005770069
709.9410467,0.815683981,0.005641404
711.1363667,0.822313175,0.005545957
712.3556533,0.828993401,0.005478799
713.5889,0.835686976,0.005427604
714.8362,0.842414828,0.005393933
716.1005333,0.849193956,0.00536182
717.3887,0.856052198,0.005324033
718.6969733,0.863007536,0.005316425
720.01166,0.870013719,0.005329166
721.30582,0.876955578,0.005363988
722.5863267,0.883789754,0.005337088
723.8488,0.890505429,0.005319458
725.0702,0.897075699,0.005379294
726.25416,0.903401007,0.005342502
727.39392,0.9094324,0.005291809
728.4864533,0.915143489,0.005227382
729.5397867,0.920547839,0.005130712
730.5654133,0.925640553,0.004965466
731.56588,0.930427651,0.004784865
732.54586,0.934930062,0.004594391
733.5119267,0.939134654,0.004352279
734.4634933,0.943061757,0.004126987
735.4093267,0.946739434,0.003888293
736.35658,0.950383778,0.003847275
737.30318,0.953599904,0.003397555
738.25658,0.956520475,0.003063322
739.2130667,0.959230335,0.002833139
740.17902,0.961733845,0.00259175
741.1588467,0.964043071,0.00235677
742.14152,0.96616785,0.002162244
743.13344,0.968079812,0.001927536
744.1349067,0.969829568,0.001747193
745.1522267,0.971418718,0.001562095
746.19532,0.972906289,0.001426115
747.2589733,0.97428191,0.001293298
748.3354533,0.975562289,0.001189413
749.43154,0.976768852,0.001100792
750.5424267,0.977902825,0.001020782
751.6691733,0.978979335,0.000955414
752.8048267,0.979992765,0.000892376
753.95046,0.980927316,0.00081575
755.1023733,0.981803906,0.000760987
756.2630867,0.982628051,0.000710033
757.4303933,0.983378773,0.000643123
758.6033533,0.984083319,0.000600657
759.7810067,0.984760075,0.000574665
760.9626933,0.985382709,0.000526903
762.14766,0.985959833,0.000487038
763.3367,0.986485241,0.000441876
764.52744,0.98697727,0.000413213
765.72608,0.987451579,0.000395706
766.92512,0.987874444,0.000352669
768.1259,0.988263069,0.000323643
769.3311133,0.988621225,0.000297173
770.5399067,0.988972857,0.000290895
771.7533867,0.989308783,0.000276828
772.9681933,0.989596306,0.000236682
774.1856667,0.989868056,0.000223209
775.4053933,0.990121835,0.000208062
776.6283267,0.990352035,0.000188236
777.8504333,0.990581346,0.000187636
779.0781267,0.990788182,0.000168476
780.30728,0.990972694,0.000150113
781.5370333,0.991146854,0.000141621
782.76914,0.991320947,0.000141298
784.00074,0.991484698,0.000132958
785.23286,0.99164068,0.000126596
